Date,Description,Amount,Transaction Type,Category,Account Name,date
02-09-2019,Amazon,18.76,debit,Travel,Credit Card,2019-02-09
02-10-2019,Amazon,57.4,debit,Bills,Credit Card,2019-02-10
02-11-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-02-11
02-12-2019,Netflix,857.36,debit,Mortgage & Rent,Credit Card,2019-02-12
02-12-2019,Netflix,17.1,debit,Restaurants,Credit Card,2019-02-12
02-13-2019,Credit Transaction,22.55,credit,Cashback Rewards,Savings,2019-02-13
02-13-2019,Restaurant,26.98,debit,Shopping,Credit Card,2019-02-13
02-13-2019,Mall,20.23,debit,Entertainment,Credit Card,2019-02-13
02-13-2019,Monthly direct deposit - Salary,3900.0,credit,Salary,Savings,2019-02-13
02-13-2019,Amazon,19.17,debit,Entertainment,Credit Card,2019-02-13
02-13-2019,Uber,59.52,debit,Bills,Credit Card,2019-02-13
02-14-2019,Amazon,9.07,debit,Travel,Credit Card,2019-02-14
02-14-2019,Uber,48.24,debit,Shopping,Credit Card,2019-02-14
02-14-2019,Amazon,14.7,debit,Restaurants,Credit Card,2019-02-14
02-14-2019,Amazon,52.83,debit,Restaurants,Credit Card,2019-02-14
02-15-2019,Restaurant,16.19,debit,Restaurants,Credit Card,2019-02-15
02-15-2019,Uber,845.55,debit,Mortgage & Rent,Credit Card,2019-02-15
02-15-2019,Credit Transaction,22.3,credit,Cashback Rewards,Savings,2019-02-15
02-16-2019,Mall,35.52,debit,Restaurants,Credit Card,2019-02-16
02-16-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-02-16
02-16-2019,Uber,19.44,debit,Restaurants,Credit Card,2019-02-16
02-16-2019,Amazon,15.94,debit,Entertainment,Credit Card,2019-02-16
02-18-2019,Mall,13.21,debit,Shopping,Credit Card,2019-02-18
02-18-2019,Amazon,14.9,debit,Entertainment,Credit Card,2019-02-18
02-18-2019,Amazon,28.51,debit,Restaurants,Credit Card,2019-02-18
02-18-2019,Netflix,19.36,debit,Entertainment,Credit Card,2019-02-18
02-18-2019,Amazon,54.99,debit,Restaurants,Credit Card,2019-02-18
02-18-2019,Uber,858.16,debit,Mortgage & Rent,Credit Card,2019-02-18
02-18-2019,Netflix,57.79,debit,Bills,Credit Card,2019-02-18
02-19-2019,Netflix,54.46,debit,Shopping,Credit Card,2019-02-19
02-19-2019,Amazon,8.14,debit,Restaurants,Credit Card,2019-02-19
02-19-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-02-19
02-19-2019,Netflix,18.9,debit,Travel,Credit Card,2019-02-19
02-20-2019,Uber,16.1,debit,Restaurants,Credit Card,2019-02-20
02-20-2019,Mall,30.7,debit,Restaurants,Credit Card,2019-02-20
02-21-2019,Restaurant,44.09,debit,Bills,Credit Card,2019-02-21
02-21-2019,Restaurant,8.8,debit,Restaurants,Credit Card,2019-02-21
02-23-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-02-23
02-23-2019,Netflix,67.78,debit,Shopping,Credit Card,2019-02-23
02-23-2019,Credit Transaction,17.03,credit,Cashback Rewards,Savings,2019-02-23
02-23-2019,Amazon,846.64,debit,Mortgage & Rent,Credit Card,2019-02-23
02-23-2019,Uber,46.64,debit,Bills,Credit Card,2019-02-23
02-23-2019,Credit Transaction,11.59,credit,Cashback Rewards,Savings,2019-02-23
02-24-2019,Amazon,854.4,debit,Mortgage & Rent,Credit Card,2019-02-24
02-24-2019,Mall,14.38,debit,Entertainment,Credit Card,2019-02-24
02-24-2019,Uber,76.32,debit,Shopping,Credit Card,2019-02-24
02-24-2019,Netflix,18.43,debit,Travel,Credit Card,2019-02-24
02-24-2019,Netflix,850.44,debit,Mortgage & Rent,Credit Card,2019-02-24
02-24-2019,Netflix,23.15,debit,Entertainment,Credit Card,2019-02-24
02-25-2019,Netflix,856.23,debit,Mortgage & Rent,Credit Card,2019-02-25
02-26-2019,Restaurant,11.31,debit,Travel,Credit Card,2019-02-26
02-26-2019,Amazon,14.46,debit,Travel,Credit Card,2019-02-26
02-26-2019,Credit Transaction,6.5,credit,Cashback Rewards,Savings,2019-02-26
02-26-2019,Netflix,8.24,debit,Travel,Credit Card,2019-02-26
02-27-2019,Credit Transaction,12.8,credit,Cashback Rewards,Savings,2019-02-27
02-27-2019,Credit Transaction,14.01,credit,Cashback Rewards,Savings,2019-02-27
02-27-2019,Netflix,23.7,debit,Restaurants,Credit Card,2019-02-27
02-27-2019,Netflix,16.6,debit,Travel,Credit Card,2019-02-27
03-01-2019,Rent,851.24,debit,Mortgage & Rent,Checking,2019-03-01
03-01-2019,Restaurant,70.17,debit,Shopping,Credit Card,2019-03-01
03-03-2019,Amazon,46.62,debit,Shopping,Credit Card,2019-03-03
03-03-2019,Netflix,855.27,debit,Mortgage & Rent,Credit Card,2019-03-03
03-03-2019,Credit Transaction,8.46,credit,Cashback Rewards,Savings,2019-03-03
03-04-2019,Restaurant,855.05,debit,Mortgage & Rent,Credit Card,2019-03-04
03-04-2019,Restaurant,18.15,debit,Travel,Credit Card,2019-03-04
03-04-2019,Netflix,53.29,debit,Restaurants,Credit Card,2019-03-04
03-04-2019,Netflix,852.73,debit,Mortgage & Rent,Credit Card,2019-03-04
03-04-2019,Amazon,852.31,debit,Mortgage & Rent,Credit Card,2019-03-04
03-04-2019,Amazon,20.27,debit,Restaurants,Credit Card,2019-03-04
03-04-2019,Uber,9.17,debit,Entertainment,Credit Card,2019-03-04
03-04-2019,Uber,58.87,debit,Bills,Credit Card,2019-03-04
03-04-2019,Netflix,21.56,debit,Travel,Credit Card,2019-03-04
03-05-2019,Uber,56.8,debit,Bills,Credit Card,2019-03-05
03-05-2019,Amazon,855.94,debit,Mortgage & Rent,Credit Card,2019-03-05
03-05-2019,Restaurant,52.28,debit,Bills,Credit Card,2019-03-05
03-05-2019,Mall,60.52,debit,Shopping,Credit Card,2019-03-05
03-05-2019,Uber,39.56,debit,Restaurants,Credit Card,2019-03-05
03-05-2019,Netflix,60.13,debit,Bills,Credit Card,2019-03-05
03-06-2019,Mall,11.69,debit,Travel,Credit Card,2019-03-06
03-06-2019,Uber,12.43,debit,Entertainment,Credit Card,2019-03-06
03-07-2019,Credit Transaction,83.12,credit,Dividends,Savings,2019-03-07
03-07-2019,Amazon,3.87,debit,Entertainment,Credit Card,2019-03-07
03-07-2019,Restaurant,51.76,debit,Bills,Credit Card,2019-03-07
03-07-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-03-07
03-08-2019,Amazon,15.65,debit,Entertainment,Credit Card,2019-03-08
03-08-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-03-08
03-08-2019,Restaurant,15.91,debit,Entertainment,Credit Card,2019-03-08
03-09-2019,Mall,17.67,debit,Restaurants,Credit Card,2019-03-09
03-09-2019,Netflix,26.2,debit,Restaurants,Credit Card,2019-03-09
03-09-2019,Amazon,32.76,debit,Shopping,Credit Card,2019-03-09
03-10-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-03-10
03-10-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-03-10
03-10-2019,Netflix,46.65,debit,Shopping,Credit Card,2019-03-10
03-10-2019,Credit Transaction,15.23,credit,Cashback Rewards,Savings,2019-03-10
03-10-2019,Mall,69.02,debit,Restaurants,Credit Card,2019-03-10
03-10-2019,Restaurant,20.76,debit,Travel,Credit Card,2019-03-10
03-10-2019,Restaurant,55.91,debit,Restaurants,Credit Card,2019-03-10
03-11-2019,Amazon,52.43,debit,Bills,Credit Card,2019-03-11
03-11-2019,Netflix,49.69,debit,Bills,Credit Card,2019-03-11
03-11-2019,Uber,64.01,debit,Restaurants,Credit Card,2019-03-11
03-11-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-03-11
03-12-2019,Mall,11.28,debit,Restaurants,Credit Card,2019-03-12
03-13-2019,Amazon,61.08,debit,Bills,Credit Card,2019-03-13
03-13-2019,Netflix,59.87,debit,Bills,Credit Card,2019-03-13
03-13-2019,Mall,39.51,debit,Restaurants,Credit Card,2019-03-13
03-13-2019,Monthly direct deposit - Salary,3900.0,credit,Salary,Savings,2019-03-13
03-13-2019,Uber,10.27,debit,Entertainment,Credit Card,2019-03-13
03-14-2019,Credit Transaction,92.46,credit,Dividends,Savings,2019-03-14
03-14-2019,Netflix,7.1,debit,Travel,Credit Card,2019-03-14
03-14-2019,Netflix,856.67,debit,Mortgage & Rent,Credit Card,2019-03-14
03-14-2019,Uber,54.01,debit,Bills,Credit Card,2019-03-14
03-15-2019,Uber,51.47,debit,Bills,Credit Card,2019-03-15
03-15-2019,Amazon,11.07,debit,Entertainment,Credit Card,2019-03-15
03-15-2019,Netflix,49.02,debit,Bills,Credit Card,2019-03-15
03-16-2019,Uber,65.14,debit,Shopping,Credit Card,2019-03-16
03-16-2019,Netflix,855.6,debit,Mortgage & Rent,Credit Card,2019-03-16
03-16-2019,Credit Transaction,18.19,credit,Cashback Rewards,Savings,2019-03-16
03-16-2019,Credit Transaction,110.05,credit,Dividends,Savings,2019-03-16
03-16-2019,Netflix,61.04,debit,Bills,Credit Card,2019-03-16
03-17-2019,Restaurant,5.19,debit,Entertainment,Credit Card,2019-03-17
03-17-2019,Credit Transaction,86.72,credit,Dividends,Savings,2019-03-17
03-17-2019,Credit Transaction,24.36,credit,Cashback Rewards,Savings,2019-03-17
03-17-2019,Uber,73.33,debit,Restaurants,Credit Card,2019-03-17
03-17-2019,Mall,36.53,debit,Restaurants,Credit Card,2019-03-17
03-17-2019,Uber,42.98,debit,Shopping,Credit Card,2019-03-17
03-18-2019,Restaurant,17.99,debit,Restaurants,Credit Card,2019-03-18
03-18-2019,Uber,55.61,debit,Bills,Credit Card,2019-03-18
03-18-2019,Uber,855.27,debit,Mortgage & Rent,Credit Card,2019-03-18
03-18-2019,Netflix,67.46,debit,Shopping,Credit Card,2019-03-18
03-18-2019,Credit Transaction,13.89,credit,Cashback Rewards,Savings,2019-03-18
03-18-2019,Restaurant,52.36,debit,Bills,Credit Card,2019-03-18
03-19-2019,Mall,11.83,debit,Travel,Credit Card,2019-03-19
03-19-2019,Amazon,29.49,debit,Travel,Credit Card,2019-03-19
03-19-2019,Credit Transaction,127.76,credit,Dividends,Savings,2019-03-19
03-19-2019,Netflix,12.32,debit,Entertainment,Credit Card,2019-03-19
03-20-2019,Restaurant,855.11,debit,Mortgage & Rent,Credit Card,2019-03-20
03-20-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-03-20
03-21-2019,Restaurant,854.55,debit,Mortgage & Rent,Credit Card,2019-03-21
03-21-2019,Uber,58.94,debit,Bills,Credit Card,2019-03-21
03-23-2019,Uber,854.41,debit,Mortgage & Rent,Credit Card,2019-03-23
03-23-2019,Netflix,62.18,debit,Shopping,Credit Card,2019-03-23
03-23-2019,Uber,25.53,debit,Travel,Credit Card,2019-03-23
03-23-2019,Amazon,13.23,debit,Entertainment,Credit Card,2019-03-23
03-23-2019,Restaurant,6.85,debit,Entertainment,Credit Card,2019-03-23
03-23-2019,Uber,11.78,debit,Travel,Credit Card,2019-03-23
03-23-2019,Uber,9.62,debit,Restaurants,Credit Card,2019-03-23
03-24-2019,Mall,25.26,debit,Travel,Credit Card,2019-03-24
03-24-2019,Mall,852.29,debit,Mortgage & Rent,Credit Card,2019-03-24
03-25-2019,Mall,40.66,debit,Shopping,Credit Card,2019-03-25
03-25-2019,Mall,38.81,debit,Shopping,Credit Card,2019-03-25
03-25-2019,Mall,20.86,debit,Travel,Credit Card,2019-03-25
03-26-2019,Credit Transaction,8.25,credit,Cashback Rewards,Savings,2019-03-26
03-26-2019,Netflix,62.42,debit,Bills,Credit Card,2019-03-26
03-26-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-03-26
03-26-2019,Credit Transaction,110.57,credit,Dividends,Savings,2019-03-26
03-27-2019,Amazon,15.67,debit,Travel,Credit Card,2019-03-27
03-27-2019,Uber,14.65,debit,Travel,Credit Card,2019-03-27
03-27-2019,Netflix,63.27,debit,Shopping,Credit Card,2019-03-27
03-27-2019,Restaurant,56.93,debit,Shopping,Credit Card,2019-03-27
03-27-2019,Restaurant,27.76,debit,Restaurants,Credit Card,2019-03-27
03-27-2019,Uber,45.39,debit,Shopping,Credit Card,2019-03-27
03-27-2019,Uber,55.96,debit,Bills,Credit Card,2019-03-27
03-27-2019,Uber,851.03,debit,Mortgage & Rent,Credit Card,2019-03-27
03-28-2019,Amazon,851.81,debit,Mortgage & Rent,Credit Card,2019-03-28
03-28-2019,Amazon,15.94,debit,Entertainment,Credit Card,2019-03-28
03-28-2019,Mall,854.42,debit,Mortgage & Rent,Credit Card,2019-03-28
03-28-2019,Restaurant,58.76,debit,Shopping,Credit Card,2019-03-28
03-28-2019,Mall,62.98,debit,Shopping,Credit Card,2019-03-28
03-28-2019,Credit Transaction,11.37,credit,Cashback Rewards,Savings,2019-03-28
04-01-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-04-01
04-01-2019,Restaurant,46.14,debit,Shopping,Credit Card,2019-04-01
04-01-2019,Netflix,15.82,debit,Travel,Credit Card,2019-04-01
04-01-2019,Netflix,28.81,debit,Restaurants,Credit Card,2019-04-01
04-01-2019,Credit Transaction,99.5,credit,Dividends,Savings,2019-04-01
04-01-2019,Rent,852.0,debit,Mortgage & Rent,Checking,2019-04-01
04-02-2019,Uber,46.31,debit,Restaurants,Credit Card,2019-04-02
04-02-2019,Amazon,18.67,debit,Travel,Credit Card,2019-04-02
04-03-2019,Amazon,14.18,debit,Travel,Credit Card,2019-04-03
04-03-2019,Restaurant,48.54,debit,Shopping,Credit Card,2019-04-03
04-04-2019,Mall,19.97,debit,Shopping,Credit Card,2019-04-04
04-04-2019,Mall,58.57,debit,Restaurants,Credit Card,2019-04-04
04-04-2019,Netflix,852.0,debit,Mortgage & Rent,Credit Card,2019-04-04
04-04-2019,Restaurant,852.0,debit,Mortgage & Rent,Credit Card,2019-04-04
04-05-2019,Mall,19.86,debit,Travel,Credit Card,2019-04-05
04-05-2019,Restaurant,35.5,debit,Restaurants,Credit Card,2019-04-05
04-05-2019,Restaurant,24.3,debit,Travel,Credit Card,2019-04-05
04-06-2019,Netflix,852.0,debit,Mortgage & Rent,Credit Card,2019-04-06
04-06-2019,Amazon,45.86,debit,Bills,Credit Card,2019-04-06
04-06-2019,Mall,18.57,debit,Shopping,Credit Card,2019-04-06
04-07-2019,Mall,12.23,debit,Travel,Credit Card,2019-04-07
04-07-2019,Netflix,45.74,debit,Restaurants,Credit Card,2019-04-07
04-07-2019,Credit Transaction,18.12,credit,Cashback Rewards,Savings,2019-04-07
04-08-2019,Amazon,3.14,debit,Entertainment,Credit Card,2019-04-08
04-08-2019,Netflix,8.08,debit,Entertainment,Credit Card,2019-04-08
04-08-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-04-08
04-09-2019,Restaurant,44.33,debit,Bills,Credit Card,2019-04-09
04-09-2019,Restaurant,54.07,debit,Shopping,Credit Card,2019-04-09
04-09-2019,Amazon,5.65,debit,Entertainment,Credit Card,2019-04-09
04-09-2019,Restaurant,2.29,debit,Entertainment,Credit Card,2019-04-09
04-10-2019,Mall,41.84,debit,Shopping,Credit Card,2019-04-10
04-10-2019,Uber,7.08,debit,Entertainment,Credit Card,2019-04-10
04-10-2019,Credit Transaction,84.52,credit,Dividends,Savings,2019-04-10
04-10-2019,Netflix,21.66,debit,Shopping,Credit Card,2019-04-10
04-12-2019,Credit Transaction,105.73,credit,Dividends,Savings,2019-04-12
04-12-2019,Uber,12.95,debit,Travel,Credit Card,2019-04-12
04-12-2019,Credit Transaction,145.86,credit,Dividends,Savings,2019-04-12
04-12-2019,Netflix,39.89,debit,Restaurants,Credit Card,2019-04-12
04-13-2019,Netflix,20.94,debit,Travel,Credit Card,2019-04-13
04-13-2019,Restaurant,44.14,debit,Bills,Credit Card,2019-04-13
04-13-2019,Monthly direct deposit - Salary,3900.0,credit,Salary,Savings,2019-04-13
04-13-2019,Credit Transaction,16.44,credit,Cashback Rewards,Savings,2019-04-13
04-14-2019,Credit Transaction,6.62,credit,Cashback Rewards,Savings,2019-04-14
04-14-2019,Credit Transaction,102.3,credit,Dividends,Savings,2019-04-14
04-14-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-04-14
04-14-2019,Credit Transaction,3.28,credit,Cashback Rewards,Savings,2019-04-14
04-14-2019,Netflix,43.87,debit,Bills,Credit Card,2019-04-14
04-15-2019,Restaurant,17.16,debit,Shopping,Credit Card,2019-04-15
04-15-2019,Restaurant,1.32,debit,Entertainment,Credit Card,2019-04-15
04-16-2019,Mall,13.83,debit,Travel,Credit Card,2019-04-16
04-16-2019,Restaurant,24.99,debit,Travel,Credit Card,2019-04-16
04-17-2019,Restaurant,39.2,debit,Restaurants,Credit Card,2019-04-17
04-17-2019,Uber,852.0,debit,Mortgage & Rent,Credit Card,2019-04-17
04-17-2019,Uber,48.79,debit,Restaurants,Credit Card,2019-04-17
04-18-2019,Restaurant,5.23,debit,Entertainment,Credit Card,2019-04-18
04-18-2019,Credit Transaction,3900.0,credit,Salary,Savings,2019-04-18
04-18-2019,Mall,852.0,debit,Mortgage & Rent,Credit Card,2019-04-18
04-18-2019,Credit Transaction,126.42,credit,Dividends,Savings,2019-04-18
04-20-2019,Uber,12.63,debit,Travel,Credit Card,2019-04-20
04-20-2019,Netflix,54.71,debit,Shopping,Credit Card,2019-04-20
04-20-2019,Uber,852.0,debit,Mortgage & Rent,Credit Card,2019-04-20
04-20-2019,Mall,46.51,debit,Bills,Credit Card,2019-04-20
04-20-2019,Uber,49.07,debit,Bills,Credit Card,2019-04-20
04-20-2019,Uber,852.0,debit,Mortgage & Rent,Credit Card,2019-04-20
04-20-2019,Mall,852.0,debit,Mortgage & Rent,Credit Card,2019-04-20
04-21-2019,Restaurant,46.26,debit,Bills,Credit Card,2019-04-21
04-21-2019,Restaurant,18.07,debit,Restaurants,Credit Card,2019-04-21
04-21-2019,Netflix,46.96,debit,Bills,Credit Card,2019-04-21
